,x_in,y_in,change,x_fin
45449,-240,100,1,-60
45453,-240,-140,1,180
45457,240,-180,2,-220
45461,240,220,2,180
45465,240,0,2,-40
45469,240,-100,2,-140
45473,240,-40,2,-80
45477,240,60,2,20
45481,240,-40,2,-80
45485,240,-120,2,-160
45489,240,80,2,40
45493,240,-120,2,-160
45497,240,-20,2,-60
45501,240,240,2,200
45505,240,-100,2,-140
45509,240,180,2,140
45513,240,-100,2,-140
45517,240,-60,2,-100
45521,240,-140,2,-180
45525,240,40,2,0
45529,240,-160,2,-200
45533,240,-140,2,-180
45537,240,40,2,0
45541,240,220,2,180
45545,240,220,2,180
45549,240,-60,2,-100
45553,240,-140,2,-180
45557,240,-20,2,-60
45561,240,-140,2,-180
45565,240,80,2,40
45569,240,-140,2,-180
45573,240,40,2,0
45577,240,120,2,80
45581,240,-20,2,-60
45585,240,-60,2,-100
45589,240,-140,2,-180
45593,240,-140,2,-180
45597,240,20,2,-20
45601,-240,-180,1,220
45605,-240,-80,1,120
45609,-240,-140,1,180
45613,-240,100,1,-60
45617,-240,-140,1,180
45621,-240,40,1,0
45625,-240,-120,1,160
45629,-240,-60,1,100
45633,-240,100,1,-60
45637,-240,-20,1,60
45641,-240,100,1,-60
45645,-240,140,1,-100
45649,-240,120,1,-80
45653,-240,0,1,40
45657,-240,-80,1,120
45661,-240,-100,1,140
45665,-240,-160,1,200
45669,-240,40,1,0
45673,-240,180,1,-140
45677,-240,140,1,-100
45681,-240,-120,1,160
45685,-240,260,1,-220
45689,-240,260,1,-220
45693,-240,-40,1,80
45697,-240,-140,1,180
45701,-240,-140,1,180
45705,-240,-160,1,200
45709,-240,160,1,-120
45713,-240,120,1,-80
45717,240,-180,2,-220
45721,240,-60,2,-100
45725,240,40,2,0
45729,240,-100,2,-140
45733,240,280,2,240
45737,240,-140,2,-180
45741,240,20,2,-20
45745,240,280,2,240
45749,240,100,2,60
45753,240,80,2,40
45757,240,-160,2,-200
45761,240,60,2,20
45765,240,-160,2,-200
45769,240,80,2,40
45773,240,20,2,-20
45777,240,280,2,240
45781,240,140,2,100
45785,240,-140,2,-180
45789,240,280,2,240
45793,240,20,2,-20
45797,240,200,2,160
45801,240,-60,2,-100
45805,240,120,2,80
45809,240,100,2,60
45813,240,220,2,180
45817,240,220,2,180
45821,240,120,2,80
45825,240,-40,2,-80
45829,-240,-180,1,220
45833,-240,-120,1,160
45837,-240,40,1,0
45841,240,-180,2,-220
45845,240,-140,2,-180
45849,240,-140,2,-180
45853,240,-120,2,-160
45857,240,-80,2,-120
45861,240,200,2,160
45865,240,260,2,220
45869,240,240,2,200
45873,240,-140,2,-180
45877,240,120,2,80
45881,240,-80,2,-120
45885,240,-160,2,-200
45889,240,-80,2,-120
45893,240,120,2,80
45897,240,-120,2,-160
45901,240,120,2,80
45905,240,180,2,140
45909,240,20,2,-20
45913,240,220,2,180
45917,-240,-180,1,220
45921,-240,-100,1,140
45925,-240,160,1,-120
45929,-240,-20,1,60
45933,-240,-40,1,80
45937,-240,260,1,-220
45941,-240,120,1,-80
45945,-240,-140,1,180
45949,-240,-120,1,160
45953,-240,240,1,-200
45957,-240,-120,1,160
45961,-240,260,1,-220
45965,-240,-140,1,180
45969,-240,0,1,40
45973,-240,220,1,-180
45977,-240,-80,1,120
45981,-240,-40,1,80
45985,-240,220,1,-180
45989,-240,180,1,-140
45993,-240,-120,1,160
45997,-240,160,1,-120
46001,-240,60,1,-20
46005,-240,240,1,-200
46009,-240,-140,1,180
46013,-240,-20,1,60
46017,-240,280,1,-240
46021,-240,240,1,-200
46025,-240,-140,1,180
46029,-240,180,1,-140
46033,-240,0,1,40
46037,-240,-20,1,60
46041,-240,260,1,-220
46045,-240,120,1,-80
