,x_in,y_in,change,x_fin
1,-240,100,1,-60
5,-240,80,1,-40
9,-240,80,1,-40
13,-240,40,1,0
17,-240,40,1,0
21,-240,200,1,-160
25,240,-180,2,-220
29,240,0,2,-40
33,240,-100,2,-140
37,240,220,2,180
41,240,-40,2,-80
45,240,140,2,100
49,240,-140,2,-180
53,240,-140,2,-180
57,240,180,2,140
61,240,80,2,40
65,240,-100,2,-140
69,240,-160,2,-200
73,240,-100,2,-140
77,240,280,2,240
81,240,60,2,20
85,240,-140,2,-180
89,240,240,2,200
93,240,180,2,140
97,240,180,2,140
101,240,-100,2,-140
105,240,0,2,-40
109,240,-80,2,-120
113,240,180,2,140
117,240,20,2,-20
121,240,-20,2,-60
125,-240,-180,1,220
129,-240,140,1,-100
133,240,-180,2,-220
137,240,60,2,20
141,240,200,2,160
145,240,-20,2,-60
149,240,280,2,240
153,240,200,2,160
157,240,-80,2,-120
161,240,80,2,40
165,240,-140,2,-180
169,240,-80,2,-120
173,240,60,2,20
177,240,240,2,200
181,240,-120,2,-160
185,240,200,2,160
189,240,140,2,100
193,240,140,2,100
197,240,-60,2,-100
201,240,-20,2,-60
205,240,-100,2,-140
209,240,-120,2,-160
213,240,-120,2,-160
217,240,140,2,100
221,240,120,2,80
225,240,140,2,100
229,240,-40,2,-80
233,240,260,2,220
237,240,220,2,180
241,240,-140,2,-180
245,240,80,2,40
249,240,0,2,-40
253,240,40,2,0
257,240,-140,2,-180
261,240,-160,2,-200
265,240,-60,2,-100
269,240,-20,2,-60
273,240,-140,2,-180
277,240,40,2,0
281,240,180,2,140
285,240,140,2,100
289,240,-120,2,-160
293,240,100,2,60
297,240,120,2,80
301,240,-100,2,-140
305,240,20,2,-20
309,240,0,2,-40
313,240,180,2,140
317,240,-100,2,-140
321,-240,-180,1,220
325,-240,-160,1,200
329,-240,140,1,-100
333,-240,200,1,-160
337,-240,40,1,0
341,-240,180,1,-140
345,-240,140,1,-100
349,-240,280,1,-240
353,-240,40,1,0
357,-240,-140,1,180
361,-240,-60,1,100
365,-240,-140,1,180
369,-240,80,1,-40
373,-240,260,1,-220
377,-240,60,1,-20
381,-240,160,1,-120
385,-240,0,1,40
389,-240,220,1,-180
393,-240,200,1,-160
397,-240,220,1,-180
401,-240,240,1,-200
405,-240,-60,1,100
409,-240,260,1,-220
413,-240,120,1,-80
417,-240,240,1,-200
421,-240,-140,1,180
425,-240,0,1,40
429,-240,-60,1,100
433,-240,140,1,-100
437,-240,-40,1,80
441,-240,60,1,-20
445,-240,40,1,0
449,-240,240,1,-200
453,-240,-60,1,100
457,240,-180,2,-220
461,240,-100,2,-140
465,240,220,2,180
469,240,60,2,20
473,240,220,2,180
477,240,200,2,160
481,240,0,2,-40
485,240,-60,2,-100
489,240,-120,2,-160
493,240,40,2,0
497,240,220,2,180
501,240,-140,2,-180
505,240,-100,2,-140
509,240,180,2,140
513,240,-100,2,-140
517,240,100,2,60
521,240,40,2,0
525,240,-40,2,-80
529,240,140,2,100
533,240,80,2,40
537,240,260,2,220
541,240,140,2,100
545,240,140,2,100
549,240,260,2,220
553,240,20,2,-20
557,240,-40,2,-80
561,240,160,2,120
565,240,180,2,140
569,240,20,2,-20
573,240,-160,2,-200
577,240,180,2,140
581,240,20,2,-20
585,240,20,2,-20
589,240,-120,2,-160
593,240,-140,2,-180
597,240,-60,2,-100
601,-240,-180,1,220
605,-240,-120,1,160
609,-240,220,1,-180
613,-240,60,1,-20
617,-240,60,1,-20
621,-240,240,1,-200
625,240,-180,2,-220
629,240,-60,2,-100
633,240,0,2,-40
637,240,120,2,80
641,240,-80,2,-120
645,240,260,2,220
649,240,-100,2,-140
653,240,180,2,140
657,240,40,2,0
661,240,0,2,-40
665,240,0,2,-40
669,240,120,2,80
673,240,260,2,220
677,240,160,2,120
681,240,-20,2,-60
685,240,-160,2,-200
689,240,-60,2,-100
693,240,220,2,180
697,240,40,2,0
701,240,20,2,-20
705,240,-160,2,-200
709,240,280,2,240
713,240,20,2,-20
717,240,180,2,140
721,240,140,2,100
725,240,-40,2,-80
729,240,160,2,120
733,240,140,2,100
737,240,280,2,240
741,240,120,2,80
745,240,100,2,60
749,240,-140,2,-180
753,240,-80,2,-120
757,240,-60,2,-100
761,240,-140,2,-180
765,240,260,2,220
769,240,-80,2,-120
773,240,0,2,-40
777,240,140,2,100
781,240,-40,2,-80
785,240,140,2,100
789,240,20,2,-20
793,240,80,2,40
797,240,-20,2,-60
801,240,120,2,80
805,240,280,2,240
809,-240,-180,1,220
813,-240,-80,1,120
817,-240,40,1,0
821,-240,160,1,-120
825,-240,-100,1,140
829,-240,0,1,40
833,-240,220,1,-180
837,-240,260,1,-220
841,-240,240,1,-200
845,-240,-160,1,200
849,-240,0,1,40
853,-240,100,1,-60
857,-240,60,1,-20
861,-240,280,1,-240
865,-240,20,1,20
869,-240,280,1,-240
873,-240,140,1,-100
877,-240,100,1,-60
881,-240,80,1,-40
885,-240,-120,1,160
889,-240,-100,1,140
893,-240,200,1,-160
897,240,-180,2,-220
901,240,100,2,60
905,240,60,2,20
909,240,180,2,140
913,240,240,2,200
917,240,280,2,240
921,240,80,2,40
925,240,220,2,180
929,240,-60,2,-100
933,240,100,2,60
937,240,240,2,200
941,240,-160,2,-200
945,-240,-180,1,220
949,-240,180,1,-140
953,-240,-100,1,140
957,-240,-160,1,200
961,-240,80,1,-40
965,-240,100,1,-60
969,-240,0,1,40
973,-240,220,1,-180
977,-240,280,1,-240
981,-240,200,1,-160
985,-240,20,1,20
989,-240,260,1,-220
993,-240,-40,1,80
997,-240,-40,1,80
1001,-240,220,1,-180
1005,-240,-140,1,180
1009,-240,0,1,40
1013,240,-180,2,-220
1017,240,140,2,100
1021,240,100,2,60
1025,240,140,2,100
1029,240,200,2,160
1033,240,-20,2,-60
1037,240,-20,2,-60
1041,240,180,2,140
1045,240,200,2,160
1049,-240,-180,1,220
1053,-240,-60,1,100
1057,-240,160,1,-120
1061,-240,160,1,-120
1065,-240,-40,1,80
1069,-240,100,1,-60
1073,-240,-60,1,100
1077,-240,160,1,-120
1081,-240,100,1,-60
1085,-240,-20,1,60
1089,-240,140,1,-100
1093,-240,140,1,-100
1097,-240,-140,1,180
1101,-240,-120,1,160
1105,-240,-80,1,120
1109,-240,280,1,-240
1113,-240,100,1,-60
1117,-240,180,1,-140
1121,-240,280,1,-240
1125,-240,-40,1,80
1129,-240,-40,1,80
1133,-240,-120,1,160
1137,-240,160,1,-120
1141,-240,40,1,0
1145,-240,-40,1,80
1149,-240,200,1,-160
1153,-240,-120,1,160
1157,-240,120,1,-80
1161,-240,-60,1,100
1165,-240,200,1,-160
1169,-240,-80,1,120
1173,-240,20,1,20
1177,-240,160,1,-120
1181,-240,180,1,-140
1185,-240,-120,1,160
1189,-240,120,1,-80
1193,-240,-60,1,100
1197,-240,260,1,-220
1201,-240,240,1,-200
1205,-240,140,1,-100
1209,-240,-140,1,180
1213,-240,80,1,-40
1217,-240,-120,1,160
1221,-240,260,1,-220
1225,-240,120,1,-80
1229,-240,240,1,-200
1233,-240,0,1,40
1237,240,-180,2,-220
1241,240,-100,2,-140
1245,240,100,2,60
1249,240,-40,2,-80
1253,240,20,2,-20
1257,240,120,2,80
1261,240,-80,2,-120
1265,240,0,2,-40
1269,240,40,2,0
1273,240,-100,2,-140
1277,240,-120,2,-160
1281,240,280,2,240
1285,240,200,2,160
1289,240,0,2,-40
1293,240,-80,2,-120
1297,240,-140,2,-180
1301,240,120,2,80
1305,-240,-180,1,220
1309,-240,-100,1,140
1313,-240,120,1,-80
1317,-240,180,1,-140
1321,-240,140,1,-100
1325,-240,180,1,-140
1329,-240,180,1,-140
1333,-240,-140,1,180
1337,-240,-20,1,60
1341,-240,-40,1,80
1345,-240,280,1,-240
1349,-240,200,1,-160
1353,-240,-60,1,100
1357,-240,260,1,-220
1361,-240,60,1,-20
1365,-240,-160,1,200
1369,-240,40,1,0
1373,-240,-80,1,120
1377,-240,240,1,-200
1381,-240,-140,1,180
1385,-240,220,1,-180
1389,-240,-60,1,100
1393,-240,-20,1,60
1397,-240,-100,1,140
1401,-240,-60,1,100
1405,-240,-120,1,160
1409,-240,160,1,-120
1413,-240,60,1,-20
1417,-240,20,1,20
1421,-240,240,1,-200
1425,-240,-120,1,160
1429,-240,280,1,-240
1433,-240,200,1,-160
1437,-240,80,1,-40
1441,-240,100,1,-60
1445,-240,220,1,-180
1449,-240,140,1,-100
1453,-240,40,1,0
1457,-240,-20,1,60
1461,-240,60,1,-20
1465,-240,280,1,-240
1469,-240,140,1,-100
1473,-240,20,1,20
1477,-240,200,1,-160
1481,-240,100,1,-60
1485,-240,-140,1,180
1489,-240,-20,1,60
1493,-240,280,1,-240
1497,-240,0,1,40
1501,-240,20,1,20
1505,-240,60,1,-20
1509,-240,-80,1,120
1513,-240,40,1,0
1517,-240,80,1,-40
1521,-240,-100,1,140
1525,-240,60,1,-20
1529,-240,40,1,0
1533,-240,-60,1,100
1537,-240,20,1,20
1541,-240,40,1,0
1545,-240,-100,1,140
1549,-240,260,1,-220
1553,-240,-80,1,120
1557,-240,260,1,-220
1561,240,-180,2,-220
1565,240,80,2,40
1569,240,-140,2,-180
1573,240,20,2,-20
1577,240,180,2,140
1581,240,-80,2,-120
1585,240,-120,2,-160
1589,240,280,2,240
1593,240,220,2,180
1597,240,-120,2,-160
1601,240,280,2,240
1605,240,-140,2,-180
1609,240,40,2,0
1613,240,-40,2,-80
1617,240,20,2,-20
1621,240,140,2,100
1625,240,100,2,60
1629,240,20,2,-20
1633,240,220,2,180
1637,240,80,2,40
1641,240,-120,2,-160
1645,240,-120,2,-160
1649,240,180,2,140
1653,240,60,2,20
1657,240,40,2,0
1661,240,-120,2,-160
1665,240,-40,2,-80
1669,240,240,2,200
1673,240,160,2,120
1677,240,-20,2,-60
1681,240,60,2,20
1685,240,260,2,220
1689,240,-20,2,-60
1693,240,200,2,160
1697,240,120,2,80
1701,240,-60,2,-100
1705,240,100,2,60
1709,240,160,2,120
1713,240,240,2,200
1717,240,140,2,100
1721,240,-40,2,-80
1725,240,40,2,0
1729,240,120,2,80
1733,240,-80,2,-120
1737,240,120,2,80
1741,240,-60,2,-100
1745,240,100,2,60
1749,240,100,2,60
1753,240,220,2,180
1757,240,80,2,40
1761,240,200,2,160
1765,-240,-180,1,220
1769,-240,-80,1,120
1773,-240,140,1,-100
1777,-240,100,1,-60
1781,-240,-140,1,180
1785,-240,-140,1,180
1789,-240,240,1,-200
1793,-240,220,1,-180
1797,240,-180,2,-220
1801,240,60,2,20
1805,240,-20,2,-60
1809,240,260,2,220
1813,240,200,2,160
1817,240,-140,2,-180
1821,240,100,2,60
1825,240,80,2,40
1829,240,160,2,120
1833,240,160,2,120
1837,240,260,2,220
1841,240,220,2,180
1845,240,120,2,80
1849,240,0,2,-40
1853,240,-80,2,-120
1857,240,-20,2,-60
1861,240,260,2,220
1865,-240,-180,1,220
1869,-240,-160,1,200
1873,-240,-140,1,180
1877,-240,100,1,-60
1881,-240,260,1,-220
1885,-240,140,1,-100
1889,-240,60,1,-20
1893,-240,240,1,-200
1897,-240,280,1,-240
1901,-240,-80,1,120
1905,-240,140,1,-100
1909,-240,20,1,20
1913,-240,20,1,20
1917,-240,-20,1,60
1921,-240,-60,1,100
1925,-240,-100,1,140
1929,-240,260,1,-220
1933,-240,-80,1,120
1937,-240,180,1,-140
1941,-240,-60,1,100
1945,-240,280,1,-240
1949,-240,280,1,-240
1953,-240,260,1,-220
1957,-240,-80,1,120
1961,-240,-140,1,180
1965,-240,200,1,-160
1969,-240,-80,1,120
1973,-240,-140,1,180
1977,-240,260,1,-220
1981,-240,240,1,-200
1985,-240,-120,1,160
1989,-240,-20,1,60
1993,240,-180,2,-220
1997,240,0,2,-40
2001,240,180,2,140
2005,240,0,2,-40
2009,240,260,2,220
2013,240,-160,2,-200
2017,240,140,2,100
2021,240,240,2,200
2025,240,-60,2,-100
2029,-240,-180,1,220
2033,-240,260,1,-220
2037,-240,-120,1,160
2041,-240,160,1,-120
2045,-240,180,1,-140
2049,-240,80,1,-40
2053,-240,180,1,-140
2057,-240,-60,1,100
2061,-240,80,1,-40
2065,-240,-60,1,100
2069,-240,60,1,-20
2073,240,-180,2,-220
2077,240,20,2,-20
2081,240,-120,2,-160
2085,240,140,2,100
2089,240,-160,2,-200
2093,240,-160,2,-200
2097,-240,-180,1,220
2101,-240,-120,1,160
2105,-240,-40,1,80
2109,-240,-40,1,80
2113,-240,-40,1,80
2117,-240,200,1,-160
2121,-240,-140,1,180
2125,-240,140,1,-100
2129,-240,260,1,-220
2133,-240,120,1,-80
2137,-240,0,1,40
2141,-240,160,1,-120
2145,-240,-60,1,100
2149,-240,-40,1,80
2153,-240,-40,1,80
2157,-240,280,1,-240
2161,-240,-80,1,120
2165,-240,140,1,-100
2169,-240,200,1,-160
2173,-240,280,1,-240
2177,-240,60,1,-20
2181,-240,180,1,-140
2185,-240,-20,1,60
2189,-240,120,1,-80
2193,-240,-20,1,60
2197,-240,-160,1,200
2201,-240,140,1,-100
2205,-240,260,1,-220
2209,-240,220,1,-180
2213,-240,-20,1,60
2217,-240,260,1,-220
2221,-240,280,1,-240
2225,-240,-140,1,180
2229,-240,100,1,-60
2233,-240,-160,1,200
2237,-240,220,1,-180
2241,-240,60,1,-20
2245,-240,120,1,-80
2249,-240,-100,1,140
2253,-240,200,1,-160
2257,-240,200,1,-160
2261,-240,20,1,20
2265,-240,40,1,0
2269,-240,180,1,-140
2273,240,-180,2,-220
2277,240,-160,2,-200
2281,240,-20,2,-60
2285,-240,-180,1,220
2289,-240,200,1,-160
2293,-240,260,1,-220
2297,-240,180,1,-140
2301,-240,-60,1,100
2305,-240,80,1,-40
2309,-240,240,1,-200
2313,-240,-80,1,120
2317,240,-180,2,-220
2321,240,-160,2,-200
2325,240,240,2,200
2329,240,-60,2,-100
2333,240,180,2,140
2337,240,-160,2,-200
2341,240,200,2,160
2345,240,180,2,140
2349,240,-40,2,-80
2353,240,-100,2,-140
2357,240,120,2,80
2361,240,-140,2,-180
2365,240,140,2,100
2369,240,240,2,200
2373,240,120,2,80
2377,240,-60,2,-100
2381,240,260,2,220
2385,240,220,2,180
2389,240,80,2,40
2393,-240,-180,1,220
2397,-240,20,1,20
2401,-240,0,1,40
2405,-240,-160,1,200
2409,-240,-120,1,160
2413,-240,-60,1,100
2417,-240,100,1,-60
2421,-240,260,1,-220
2425,-240,120,1,-80
2429,-240,-100,1,140
2433,-240,180,1,-140
2437,-240,200,1,-160
2441,-240,160,1,-120
2445,-240,-80,1,120
2449,-240,60,1,-20
2453,-240,-80,1,120
2457,-240,-100,1,140
2461,-240,-40,1,80
2465,-240,120,1,-80
2469,-240,0,1,40
2473,-240,-120,1,160
2477,-240,60,1,-20
2481,-240,280,1,-240
2485,-240,60,1,-20
2489,-240,100,1,-60
2493,-240,-60,1,100
2497,-240,0,1,40
2501,-240,100,1,-60
2505,-240,-140,1,180
2509,-240,-40,1,80
2513,-240,-100,1,140
2517,-240,220,1,-180
2521,-240,140,1,-100
2525,-240,160,1,-120
2529,-240,-160,1,200
2533,-240,-20,1,60
2537,-240,100,1,-60
2541,-240,180,1,-140
2545,-240,160,1,-120
2549,-240,60,1,-20
2553,-240,-60,1,100
2557,-240,-120,1,160
2561,-240,220,1,-180
2565,-240,200,1,-160
2569,-240,-120,1,160
2573,-240,-20,1,60
2577,-240,60,1,-20
2581,-240,180,1,-140
2585,-240,-40,1,80
2589,-240,100,1,-60
2593,-240,-100,1,140
2597,-240,-80,1,120
2601,-240,80,1,-40
2605,-240,120,1,-80
2609,-240,220,1,-180
2613,-240,-140,1,180
2617,-240,180,1,-140
2621,-240,-60,1,100
2625,-240,240,1,-200
2629,-240,-140,1,180
2633,-240,160,1,-120
2637,-240,-80,1,120
2641,-240,280,1,-240
2645,-240,-20,1,60
2649,-240,60,1,-20
2653,-240,200,1,-160
2657,-240,0,1,40
2661,-240,260,1,-220
2665,-240,40,1,0
2669,-240,-60,1,100
2673,-240,160,1,-120
2677,-240,-40,1,80
2681,-240,0,1,40
2685,-240,20,1,20
2689,-240,140,1,-100
2693,-240,-80,1,120
2697,-240,180,1,-140
2701,-240,280,1,-240
2705,-240,-80,1,120
2709,-240,160,1,-120
2713,-240,20,1,20
2717,-240,180,1,-140
2721,-240,240,1,-200
2725,-240,40,1,0
2729,-240,40,1,0
2733,240,-180,2,-220
2737,240,-120,2,-160
2741,240,-140,2,-180
2745,240,20,2,-20
2749,240,180,2,140
2753,240,-100,2,-140
2757,240,80,2,40
2761,240,-120,2,-160
2765,240,-60,2,-100
2769,240,-140,2,-180
2773,240,40,2,0
2777,240,-80,2,-120
2781,240,260,2,220
2785,240,180,2,140
2789,240,-60,2,-100
2793,240,-80,2,-120
2797,240,220,2,180
2801,240,160,2,120
2805,240,200,2,160
2809,240,20,2,-20
2813,240,-20,2,-60
2817,240,20,2,-20
2821,240,120,2,80
2825,240,240,2,200
2829,240,180,2,140
2833,240,80,2,40
2837,240,220,2,180
2841,240,0,2,-40
2845,240,140,2,100
2849,240,160,2,120
2853,240,220,2,180
2857,-240,-180,1,220
2861,-240,140,1,-100
2865,-240,40,1,0
2869,240,-180,2,-220
2873,240,20,2,-20
2877,240,80,2,40
2881,240,40,2,0
2885,240,180,2,140
2889,240,120,2,80
2893,240,-100,2,-140
2897,240,160,2,120
2901,240,120,2,80
2905,240,-100,2,-140
2909,240,160,2,120
2913,240,20,2,-20
2917,240,220,2,180
2921,-240,-180,1,220
2925,-240,120,1,-80
2929,-240,0,1,40
2933,-240,-80,1,120
2937,-240,80,1,-40
2941,-240,0,1,40
2945,-240,280,1,-240
2949,-240,220,1,-180
2953,-240,140,1,-100
2957,-240,-40,1,80
2961,-240,-20,1,60
2965,-240,240,1,-200
2969,-240,-40,1,80
2973,-240,40,1,0
2977,-240,-20,1,60
2981,240,-180,2,-220
2985,240,-100,2,-140
2989,240,-140,2,-180
2993,240,100,2,60
2997,240,-80,2,-120
3001,240,-140,2,-180
3005,240,-160,2,-200
3009,240,100,2,60
3013,240,80,2,40
3017,240,-140,2,-180
3021,240,-80,2,-120
3025,240,20,2,-20
3029,240,140,2,100
3033,240,160,2,120
3037,240,-60,2,-100
3041,240,100,2,60
3045,240,100,2,60
3049,240,240,2,200
3053,240,260,2,220
3057,240,-160,2,-200
3061,240,40,2,0
3065,240,140,2,100
3069,240,-100,2,-140
3073,240,280,2,240
3077,-240,-180,1,220
3081,-240,-160,1,200
3085,-240,20,1,20
3089,240,-180,2,-220
3093,240,100,2,60
3097,240,-160,2,-200
3101,240,-100,2,-140
3105,240,120,2,80
3109,240,-140,2,-180
3113,240,160,2,120
3117,240,280,2,240
3121,240,80,2,40
3125,240,180,2,140
3129,240,180,2,140
3133,240,60,2,20
3137,240,160,2,120
3141,240,-140,2,-180
3145,240,260,2,220
3149,240,0,2,-40
3153,240,-80,2,-120
3157,240,-100,2,-140
3161,240,20,2,-20
3165,240,180,2,140
3169,240,-100,2,-140
3173,240,160,2,120
3177,240,20,2,-20
3181,240,260,2,220
3185,240,-120,2,-160
3189,240,-120,2,-160
3193,240,80,2,40
3197,240,200,2,160
3201,240,-120,2,-160
3205,240,-140,2,-180
3209,240,100,2,60
3213,240,-120,2,-160
3217,240,40,2,0
3221,240,260,2,220
3225,240,-100,2,-140
3229,240,180,2,140
3233,240,-160,2,-200
3237,240,-80,2,-120
3241,240,140,2,100
3245,240,20,2,-20
3249,240,160,2,120
3253,240,0,2,-40
3257,240,220,2,180
3261,240,160,2,120
3265,240,80,2,40
3269,240,-20,2,-60
3273,240,160,2,120
3277,240,40,2,0
3281,240,180,2,140
3285,240,-20,2,-60
3289,240,-160,2,-200
3293,240,-40,2,-80
3297,240,160,2,120
3301,240,20,2,-20
3305,240,100,2,60
3309,240,160,2,120
3313,240,-160,2,-200
3317,-240,-180,1,220
3321,-240,-120,1,160
3325,-240,-140,1,180
3329,-240,-80,1,120
3333,-240,220,1,-180
3337,-240,-80,1,120
3341,-240,-160,1,200
3345,-240,200,1,-160
3349,-240,280,1,-240
3353,-240,-120,1,160
3357,-240,100,1,-60
3361,-240,160,1,-120
3365,-240,-20,1,60
3369,-240,60,1,-20
3373,-240,200,1,-160
3377,-240,-40,1,80
3381,240,-180,2,-220
3385,240,220,2,180
3389,240,-20,2,-60
3393,240,140,2,100
3397,240,260,2,220
3401,-240,-180,1,220
3405,-240,180,1,-140
3409,-240,-140,1,180
3413,-240,160,1,-120
3417,-240,120,1,-80
3421,-240,60,1,-20
3425,-240,-140,1,180
3429,-240,-160,1,200
3433,-240,-100,1,140
3437,-240,-40,1,80
3441,-240,280,1,-240
3445,-240,80,1,-40
3449,-240,160,1,-120
3453,-240,220,1,-180
3457,-240,0,1,40
3461,-240,-160,1,200
3465,-240,-160,1,200
3469,-240,40,1,0
3473,-240,0,1,40
3477,-240,180,1,-140
3481,-240,140,1,-100
3485,-240,120,1,-80
3489,-240,60,1,-20
3493,240,-180,2,-220
3497,240,-140,2,-180
3501,240,-140,2,-180
3505,-240,-180,1,220
3509,-240,-60,1,100
3513,-240,120,1,-80
3517,-240,-120,1,160
3521,-240,-120,1,160
3525,-240,-100,1,140
3529,-240,60,1,-20
3533,-240,40,1,0
3537,240,-180,2,-220
3541,240,100,2,60
3545,240,200,2,160
3549,240,80,2,40
3553,240,140,2,100
3557,240,-60,2,-100
3561,240,100,2,60
3565,240,-40,2,-80
3569,240,20,2,-20
3573,240,240,2,200
3577,240,160,2,120
3581,240,-120,2,-160
3585,240,-60,2,-100
3589,240,180,2,140
3593,240,180,2,140
3597,240,-140,2,-180
3601,240,-80,2,-120
3605,240,-100,2,-140
3609,240,-140,2,-180
3613,240,200,2,160
3617,240,280,2,240
3621,240,60,2,20
3625,240,-40,2,-80
3629,240,-20,2,-60
3633,240,200,2,160
3637,240,20,2,-20
3641,240,260,2,220
3645,240,-80,2,-120
3649,240,200,2,160
3653,240,140,2,100
3657,240,-140,2,-180
3661,240,40,2,0
3665,240,220,2,180
3669,240,200,2,160
3673,240,-60,2,-100
3677,-240,-180,1,220
3681,-240,0,1,40
3685,240,-180,2,-220
3689,240,-80,2,-120
3693,240,20,2,-20
3697,240,-60,2,-100
3701,240,280,2,240
3705,-240,-180,1,220
3709,-240,180,1,-140
3713,-240,160,1,-120
3717,-240,-140,1,180
3721,-240,80,1,-40
3725,240,-180,2,-220
3729,240,0,2,-40
3733,240,-20,2,-60
3737,240,-140,2,-180
3741,240,260,2,220
3745,-240,-180,1,220
3749,240,-180,2,-220
3753,240,-120,2,-160
3757,240,80,2,40
3761,240,-80,2,-120
3765,240,-160,2,-200
3769,240,-80,2,-120
3773,240,0,2,-40
3777,-240,-180,1,220
3781,-240,-160,1,200
3785,240,-180,2,-220
3789,240,-40,2,-80
3793,240,40,2,0
3797,-240,-180,1,220
3801,-240,-160,1,200
3805,-240,180,1,-140
3809,-240,160,1,-120
3813,-240,40,1,0
3817,-240,-140,1,180
3821,-240,-60,1,100
3825,-240,100,1,-60
3829,-240,80,1,-40
3833,-240,-160,1,200
3837,240,-180,2,-220
3841,240,260,2,220
3845,240,-60,2,-100
3849,240,-160,2,-200
3853,240,80,2,40
3857,240,-140,2,-180
3861,240,0,2,-40
3865,240,280,2,240
3869,240,160,2,120
3873,240,260,2,220
3877,240,120,2,80
3881,240,60,2,20
3885,240,20,2,-20
3889,240,260,2,220
3893,240,200,2,160
3897,240,-40,2,-80
3901,240,-20,2,-60
3905,240,140,2,100
3909,240,-160,2,-200
3913,240,60,2,20
3917,240,80,2,40
3921,240,280,2,240
3925,240,-140,2,-180
3929,-240,-180,1,220
3933,-240,-80,1,120
3937,-240,280,1,-240
3941,-240,20,1,20
3945,-240,-140,1,180
3949,-240,280,1,-240
3953,-240,80,1,-40
3957,-240,-40,1,80
3961,-240,-140,1,180
3965,-240,220,1,-180
3969,-240,-60,1,100
3973,-240,-160,1,200
3977,-240,-60,1,100
3981,-240,200,1,-160
3985,-240,260,1,-220
3989,-240,60,1,-20
3993,-240,140,1,-100
3997,-240,-140,1,180
4001,-240,220,1,-180
4005,-240,280,1,-240
4009,-240,20,1,20
4013,-240,-60,1,100
4017,-240,220,1,-180
4021,-240,60,1,-20
4025,-240,-20,1,60
4029,-240,180,1,-140
4033,-240,-80,1,120
4037,-240,120,1,-80
4041,-240,-20,1,60
4045,-240,-40,1,80
4049,240,-180,2,-220
4053,240,220,2,180
4057,240,-140,2,-180
4061,240,160,2,120
4065,240,140,2,100
4069,-240,-180,1,220
4073,-240,280,1,-240
4077,-240,280,1,-240
4081,-240,-160,1,200
4085,-240,100,1,-60
4089,-240,240,1,-200
4093,-240,-40,1,80
4097,-240,-100,1,140
4101,-240,-20,1,60
4105,-240,-80,1,120
4109,240,-180,2,-220
4113,240,280,2,240
4117,240,-100,2,-140
4121,240,260,2,220
4125,240,80,2,40
4129,240,200,2,160
4133,240,60,2,20
4137,240,-60,2,-100
4141,240,0,2,-40
4145,240,240,2,200
4149,240,-100,2,-140
4153,240,220,2,180
4157,240,-140,2,-180
4161,240,200,2,160
4165,240,200,2,160
4169,240,-80,2,-120
4173,240,120,2,80
4177,240,280,2,240
4181,240,160,2,120
4185,240,180,2,140
4189,240,-120,2,-160
4193,240,220,2,180
4197,240,20,2,-20
4201,240,-60,2,-100
4205,240,80,2,40
4209,240,140,2,100
4213,240,-20,2,-60
4217,240,220,2,180
4221,-240,-180,1,220
4225,-240,-100,1,140
4229,-240,-100,1,140
4233,-240,-120,1,160
4237,240,-180,2,-220
4241,240,-120,2,-160
4245,240,280,2,240
4249,240,200,2,160
4253,240,220,2,180
4257,240,180,2,140
4261,240,-100,2,-140
4265,240,280,2,240
4269,240,280,2,240
4273,-240,-180,1,220
4277,-240,120,1,-80
4281,-240,80,1,-40
4285,-240,-100,1,140
4289,-240,100,1,-60
4293,-240,-20,1,60
4297,-240,80,1,-40
4301,-240,200,1,-160
4305,-240,-60,1,100
4309,-240,140,1,-100
4313,-240,-140,1,180
4317,-240,120,1,-80
4321,-240,-60,1,100
4325,-240,-60,1,100
4329,-240,-120,1,160
4333,-240,240,1,-200
4337,-240,180,1,-140
4341,-240,140,1,-100
4345,-240,20,1,20
4349,-240,120,1,-80
4353,-240,260,1,-220
4357,-240,-140,1,180
4361,-240,0,1,40
4365,-240,160,1,-120
4369,-240,20,1,20
4373,240,-180,2,-220
4377,240,120,2,80
4381,240,200,2,160
4385,240,-120,2,-160
4389,240,80,2,40
4393,240,0,2,-40
4397,240,180,2,140
4401,240,-60,2,-100
4405,240,120,2,80
4409,240,20,2,-20
4413,240,260,2,220
4417,240,200,2,160
4421,240,0,2,-40
4425,240,260,2,220
4429,240,0,2,-40
4433,240,-120,2,-160
4437,240,280,2,240
4441,240,-40,2,-80
4445,240,160,2,120
4449,240,100,2,60
4453,240,60,2,20
4457,240,40,2,0
4461,240,-120,2,-160
4465,240,100,2,60
4469,240,240,2,200
4473,240,200,2,160
4477,240,200,2,160
4481,240,260,2,220
4485,240,180,2,140
4489,240,-140,2,-180
4493,240,-140,2,-180
4497,240,-60,2,-100
4501,240,160,2,120
4505,240,80,2,40
4509,240,-140,2,-180
4513,240,-140,2,-180
4517,240,0,2,-40
4521,240,100,2,60
4525,240,100,2,60
4529,240,280,2,240
4533,240,-20,2,-60
4537,-240,-180,1,220
4541,-240,-100,1,140
4545,-240,-100,1,140
4549,-240,240,1,-200
4553,-240,60,1,-20
4557,-240,180,1,-140
4561,240,-180,2,-220
4565,240,180,2,140
4569,240,100,2,60
4573,240,280,2,240
4577,240,120,2,80
4581,240,160,2,120
4585,240,-160,2,-200
4589,240,-100,2,-140
4593,240,-160,2,-200
4597,240,260,2,220
4601,240,120,2,80
4605,240,180,2,140
